name,description,logoid,update_mode,type,typespecs,cash_f_operating_activities_ttm,fundamental_currency_code,cash_f_investing_activities_ttm,cash_f_financing_activities_ttm,free_cash_flow_ttm,capital_expenditures_ttm
A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,common,1697000000,USD,-1257000000,-692000000,1312000000,-385000000
AA,Alcoa Corporation,alcoa,streaming,stock,common,622000000,USD,-566000000,159000000,42000000,-580000000
AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,common,-979617,USD,0,-85000,-979620,0
AADI,"Aadi Bioscience, Inc.",aadi-bioscience,streaming,stock,common,-54141000,USD,15718000,157000,-56425000,-2284000
AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,common,3983000000,USD,-968000000,-2794000000,1300000000,-2683000000
AAM,AA Mission Acquisition Corp.,,streaming,stock,common,,USD,,,,
AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,common,1352000,USD,-2425000,187000,1221000,-131000
AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,common,109900000,USD,-48900000,-109700000,100000000,-9900000
AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,common,-69526000,USD,-50697000,142179000,-112932000,-43912000
AAON,"AAON, Inc.",aaon-inc,streaming,stock,common,191868000,USD,-213075000,18698000,-3792000,-213151000
AAP,Advance Auto Parts Inc.,advance-auto-parts,streaming,stock,common,84632999.9999999,USD,1345653000,-65909000.00000001,-96167000,-180800000
AAPL,Apple Inc.,apple,streaming,stock,common,108294000000,USD,10800000000,-130769000000,98299000000,-9995000000
AARD,"Aardvark Therapeutics, Inc.",,streaming,stock,common,,USD,,,,
AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,streaming,stock,common,340481000,USD,0,-340481000,340481000,0
ABAT,American Battery Technology Company,american-battery-technology-company,streaming,stock,common,-21755017.6708949,USD,-3399991.81656318,37973981.5913524,-23939820,-2936458.85988585
ABBV,AbbVie Inc.,abbvie,streaming,stock,common,18806000000,USD,-20820000000,-5211000000,17832000000,-974000000
ABCB,Ameris Bancorp,ameris-bancorp,streaming,stock,common,154193000,USD,-846682000,745562000,140716000,-123477000
ABCL,AbCellera Biologics Inc.,abcellera-biologics,streaming,stock,common,-119276084.06136,USD,63877524.3054896,12236951.8662472,-195269290,-75985783.7084205
ABEO,Abeona Therapeutics Inc.,abeona-therapeutics,streaming,stock,common,-48841000,USD,-46587000,106442000,-50718000,-1877000
ABG,Asbury Automotive Group Inc,asbury-automotive,streaming,stock,common,516400000,USD,-137200000,-355500000,196300000,-320100000
ABL,"Abacus Life, Inc.",abacus-life,streaming,stock,common,-131581401,USD,-88253,114430079,-132267810,-788548
ABLV,Able View Global Inc.,able-view-global,streaming,stock,common,,USD,,,,
ABM,ABM Industries Incorporated,abm-industries,streaming,stock,common,226700000,USD,-171900000,-61500000,167300000,-59400000
ABNB,"Airbnb, Inc.",airbnb,streaming,stock,common,4518000000,USD,-616000000,-3572000000,4484000000,-34000000
ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,streaming,stock,common,-67314000,USD,-30443000,36071000,-67344000,-30000
ABP,"Abpro Holdings, Inc",,streaming,stock,common,,USD,,,,
ABSI,Absci Corporation,absci,streaming,stock,common,-70360000,USD,-41662000,80305000,-70758000,-398000
ABT,Abbott Laboratories,abbott,streaming,stock,common,8558000000,USD,-2338000000,-5404000000,6351000000,-2207000000
ABTS,Abits Group Inc,moxian,streaming,stock,common,2297204,USD,-3356947,0,-6953330,-9250538
ABUS,Arbutus Biopharma Corporation,arbutus-biopharma,streaming,stock,common,-70548161.1334722,USD,31145315.5745487,53794729.1404055,-70630430,-82265.05735963
ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,streaming,stock,common,-2023669,USD,154173,1715408,-2023670,0
ABVE,Above Food Ingredients Inc.,above-food-ingredients,streaming,stock,common,,USD,,,,
AC,"Associated Capital Group, Inc.",associated-capital,streaming,stock,common,,USD,,,,
ACA,"Arcosa, Inc.",arcosa,streaming,stock,common,502000000,USD,-1508900000,1089400000,312300000,-189700000
ACAD,ACADIA Pharmaceuticals Inc.,acadia-pharmaceuticals,streaming,stock,common,157719000,USD,-30538000,6845000,157196000,-523000
