name,description,logoid,update_mode,type,typespecs,dps_common_stock_prim_issue_fy,fundamental_currency_code,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth
A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,common,0.944,USD,0.248,0.747342,0.7754847,21.96035192,4.88888889,13,9
AA,Alcoa Corporation,alcoa,streaming,stock,common,0.4,USD,0.1,1.20301,1.2030076,-291.75784099,0,4,0
AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,common,0,USD,0,0,,0,,0,0
AADI,"Aadi Bioscience, Inc.",aadi-bioscience,streaming,stock,common,0,USD,0,0,,0,,0,0
AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,common,0,USD,0,0,,0,,0,0
AAM,AA Mission Acquisition Corp.,,streaming,stock,common,,USD,0,0,,,,,
AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,common,0.02,USD,0,1.2987,1.2987013,-5.58503211,0,3,0
AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,common,0.04,USD,0.01,0.162206,0.162206,1.79163307,0,10,0
AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,common,0,USD,0,0,,0,,0,0
AAON,"AAON, Inc.",aaon-inc,streaming,stock,common,0.32,USD,0.08,0.416667,0.41666663,15.87144133,-3.125e-05,19,0
AAP,Advance Auto Parts Inc.,advance-auto-parts,streaming,stock,common,1,USD,0.25,2.71003,2.710027,-17.78157118,-55.55555556,19,0
AAPL,Apple Inc.,apple,streaming,stock,common,0.98,USD,0.25,0.516871,0.41349652,15.73826784,4.25531915,13,12
AARD,"Aardvark Therapeutics, Inc.",,streaming,stock,common,,USD,,0,,,,0,0
AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,streaming,stock,common,2.98,USD,0.77,8.6564,8.6564,80.30829763,13.74045802,20,1
ABAT,American Battery Technology Company,american-battery-technology-company,streaming,stock,common,0,USD,0,0,,0,,0,0
ABBV,AbbVie Inc.,abbvie,streaming,stock,common,6.29,USD,1.64,3.00914,3.1383057,263.0038468,5.00834725,13,12
ABCB,Ameris Bancorp,ameris-bancorp,streaming,stock,common,0.65,USD,0.2,1.0065,1.2387736,12.51468068,8.33333333,11,1
ABCL,AbCellera Biologics Inc.,abcellera-biologics,streaming,stock,common,0,USD,0,0,,0,,0,0
ABEO,Abeona Therapeutics Inc.,abeona-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ABG,Asbury Automotive Group Inc,asbury-automotive,streaming,stock,common,0,USD,0,0,,0,,0,0
ABL,"Abacus Life, Inc.",abacus-life,streaming,stock,common,0,USD,0,0,,0,,0,0
ABLV,Able View Global Inc.,able-view-global,streaming,stock,common,0,USD,0,0,,,,0,0
ABM,ABM Industries Incorporated,abm-industries,streaming,stock,common,0.9,USD,0.225,1.73017,1.9510398,70.44458359,2.27272727,20,19
ABNB,"Airbnb, Inc.",airbnb,streaming,stock,common,0,USD,0,0,,0,,0,0
ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
ABP,"Abpro Holdings, Inc",,streaming,stock,common,0,USD,0,0,,0,,0,0
ABSI,Absci Corporation,absci,streaming,stock,common,0,USD,0,0,,0,,0,0
ABT,Abbott Laboratories,abbott,streaming,stock,common,2.24,USD,0.59,1.62307,1.7100209,29.23442353,7.69230769,20,11
ABTS,Abits Group Inc,moxian,streaming,stock,common,0,USD,0,0,,0,,0,0
ABUS,Arbutus Biopharma Corporation,arbutus-biopharma,streaming,stock,common,0,USD,0,0,,0,,0,0
ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,streaming,stock,common,0,USD,0,0,,0,,0,0
ABVE,Above Food Ingredients Inc.,above-food-ingredients,streaming,stock,common,0,USD,,0,,,,0,0
AC,"Associated Capital Group, Inc.",associated-capital,streaming,stock,common,0.2,USD,0.1,0.536769,0.5367687,9.63159162,0,9,0
ACA,"Arcosa, Inc.",arcosa,streaming,stock,common,0.2,USD,0.05,0.238436,0.23843588,10.43895819,0,7,0
ACAD,ACADIA Pharmaceuticals Inc.,acadia-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
ACCD,"Accolade, Inc.",accolade,streaming,stock,common,0,USD,0,0,,0,,0,0
ACCO,Acco Brands Corporation,acco-brands,streaming,stock,common,0.3,USD,0.075,6.42398,6.423983,-28.5986654,0,7,0
ACCS,ACCESS Newswire Inc.,issuer-direct,streaming,stock,common,0,USD,0,0,,0,,0,0
ACDC,ProFrac Holding Corp.,profrac,streaming,stock,common,0,USD,0,0,,0,,0,0
ACEL,"Accel Entertainment, Inc.",accel-entertainment,streaming,stock,common,0,USD,0,0,,,,0,0
ACET,"Adicet Bio, Inc.",adicet-bio,streaming,stock,common,0,USD,0,0,,0,,0,0
ACGL,Arch Capital Group Ltd.,arch-capital,streaming,stock,common,0,USD,0,0,0,0,,0,0
ACHC,"Acadia Healthcare Company, Inc.",acadia-healthcare,streaming,stock,common,0,USD,0,0,,0,,0,0
ACHR,Archer Aviation Inc.,archer-aviation,streaming,stock,common,0,USD,0,0,,0,,0,0
ACHV,"Achieve Life Sciences, Inc.",achieve-life-science,streaming,stock,common,0,USD,0,0,,0,,0,0
ACI,"Albertsons Companies, Inc.",albertsons,streaming,stock,common,0.48,USD,0.12,2.42395,2.851711,26.97993367,0,5,0
ACIC,American Coastal Insurance Corporation,united-insurance-holdings-corp,streaming,stock,common,0,USD,0,0,0,0,,0,0
ACIU,AC Immune SA,ac-immune,streaming,stock,common,0,USD,0,0,,0,,0,0
ACIW,"ACI Worldwide, Inc.",aci-worldwide,streaming,stock,common,0,USD,0,0,,0,,0,0
ACLS,"Axcelis Technologies, Inc.",axcelis-technologies,streaming,stock,common,0,USD,0,0,,0,,0,0
ACLX,"Arcellx, Inc.",arcellx,streaming,stock,common,0,USD,0,0,,0,,0,0
ACM,AECOM,aecom,streaming,stock,common,0.88,USD,0.26,0.91954,0.9195402,26.1720528,22.22222222,3,2
ACMR,"ACM Research, Inc.",acm-research,streaming,stock,common,0,USD,0,0,,0,,0,0
ACN,Accenture plc,accenture,streaming,stock,common,5.16,USD,1.48,1.58967,1.6987088,44.84680833,15.17857143,19,13
ACNB,ACNB Corporation,acnb,streaming,stock,common,1.26,USD,0.32,3.12424,3.124237,33.77834969,10.52631579,20,7
ACNT,Ascent Industries Co.,ascent-industries-co,streaming,stock,common,0,USD,0,0,,0,,0,0
ACOG,Alpha Cognition Inc.,,streaming,stock,common,0,USD,0,0,,0,,0,0
ACON,"Aclarion, Inc.",aclarion-inc,streaming,stock,common,0,USD,0,0,,0,,0,0
ACRS,"Aclaris Therapeutics, Inc.",aclaris-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ACRV,"Acrivon Therapeutics, Inc.",acrivon-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ACT,"Enact Holdings, Inc.",enact,streaming,stock,common,0.715,USD,0.185,2.15241,2.1524143,16.37054675,15.32258065,3,2
ACTG,Acacia Research Corporation,acacia-research,streaming,stock,common,0,USD,0,0,,0,,0,0
ACTU,"Actuate Therapeutics, Inc.",,streaming,stock,common,,USD,0,0,,,,0,0
ACU,Acme,acme,streaming,stock,common,0.57,USD,0.15,1.53492,1.5349195,12.27747084,3.63636364,20,19
