name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,common,127.92,100,1,false,0,USD,0.66100094,2852776,1.56300118,36494242717,USD,29.38460478,4.3533,3.70185093,0.747342,Health technology,america,Health Technology,1.642857
AA,Alcoa Corporation,alcoa,streaming,stock,common,33.25,100,1,false,0,USD,-0.53843853,4671800,1.0412147,8607904250.999998,USD,,-0.1371,96.24907663,1.20301,Non-energy minerals,america,Non-Energy Minerals,1.366667
AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,common,11.07,100,1,false,0,USD,0.09041591,2501,0.01149282,691874981,USD,25.72623751,0.4303,,0,Finance,america,Finance,
AADI,"Aadi Bioscience, Inc.",aadi-bioscience,streaming,stock,common,2.56,100,1,false,0,USD,-0.38910506,80913,1.01196908,63223211,USD,,-2.285,3.12049521,0,Health technology,america,Health Technology,2
AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,common,14.35,100,1,false,0,USD,-1.23881624,49730967,1.23431966,9436209559.000002,USD,12.94775783,1.1083,1.89390457,0,Transportation,america,Transportation,1.5
AAM,AA Mission Acquisition Corp.,,streaming,stock,common,10.21,100,1,false,0,USD,0.14713095,3527,0.03784144,537035999.9999999,USD,,,,0,Finance,america,Finance,
AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,common,1.54,100,1,false,0,USD,1.31578947,827,0.41335533,31415626,USD,,-0.3581,-392.8045789,1.2987,Finance,america,Finance,
AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,common,24.66,100,1,false,0,USD,0.90016367,171626,1.14456401,924548495,USD,11.0454179,2.2326,44.15030992,0.162206,Finance,america,Finance,2.333333
AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,common,21.86,100,1,false,0,USD,-9.06821963,5822465,1.11417383,1047202135,USD,,-4.2858,-139.26976329,0,Electronic technology,america,Electronic Technology,1.5
AAON,"AAON, Inc.",aaon-inc,streaming,stock,common,76.8,100,1,false,0,USD,-2.3397762,2492290,2.91618079,6266672124,USD,38.09145918,2.0162,-5.42708382,0.416667,Producer manufacturing,america,Producer Manufacturing,1.3
AAP,Advance Auto Parts Inc.,advance-auto-parts,streaming,stock,common,36.9,100,1,false,0,USD,-0.16233766,3386687,1.0028072,2206359794,USD,,-5.6238,-859.5623987,2.71003,Retail trade,america,Retail Trade,2.017857
AAPL,Apple Inc.,apple,streaming,stock,common,241.84,100,1,false,0,USD,1.91319005,56833360,1.27435288,3632938137877.999,USD,38.44588579,6.2904,-2.12540843,0.516871,Electronic technology,america,Electronic Technology,1.578431
AARD,"Aardvark Therapeutics, Inc.",,streaming,stock,common,12.73,100,1,false,0,USD,-5,78372,0.22933291,272223000,USD,,,,0,Health technology,america,Health Technology,
AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,streaming,stock,common,37.66,100,1,false,0,USD,0.66827052,627024,0.67833994,4166338091.999999,USD,10.14902849,3.7107,58.52272727,8.6564,Finance,america,Finance,1.416667
ABAT,American Battery Technology Company,american-battery-technology-company,streaming,stock,common,1,10000,1,false,0,USD,0.70493454,538222,0.33824712,84658005,USD,,-0.9042,67.71636675,0,Non-energy minerals,america,Non-Energy Minerals,
ABBV,AbbVie Inc.,abbvie,streaming,stock,common,209.03,100,1,false,0,USD,1.95590674,13136416,2.40978886,369012123896,USD,87.40173942,2.3916,-12.08645787,3.00914,Health technology,america,Health Technology,1.344828
ABCB,Ameris Bancorp,ameris-bancorp,streaming,stock,common,64.58,100,1,false,0,USD,2.03823669,401971,1.33208444,4460329336,USD,12.43381659,5.1939,33.33418904,1.0065,Finance,america,Finance,1.3
ABCL,AbCellera Biologics Inc.,abcellera-biologics,streaming,stock,common,2.585,100,1,false,0,USD,-11.47260274,9925645,2.01188167,770298140.9999999,USD,,-0.6001,-33.92099978,0,Health technology,america,Health Technology,1
ABEO,Abeona Therapeutics Inc.,abeona-therapeutics,streaming,stock,common,5.24,100,1,false,0,USD,1.94552529,181573,0.6521405,227788193,USD,,-2.6973,-34.60252508,0,Health technology,america,Health Technology,1
ABG,Asbury Automotive Group Inc,asbury-automotive,streaming,stock,common,268.4,100,1,false,0,USD,0.54317288,183274,1.26876769,5272837795,USD,12.47287243,21.5187,-24.74163347,0,Retail trade,america,Retail Trade,2
ABL,"Abacus Life, Inc.",abacus-life,streaming,stock,common,7.78,100,1,false,0,USD,1.17035111,244838,1.60853072,751894592,USD,,-0.1769,-15981.81818182,0,Finance,america,Finance,1
ABLV,Able View Global Inc.,able-view-global,streaming,stock,common,0.655501,10000,1,false,0,USD,-4.99985507,52703,0.76074107,27293700,USD,,,,0,Retail trade,america,Retail Trade,
ABM,ABM Industries Incorporated,abm-industries,streaming,stock,common,54.33,100,1,false,0,USD,0.68569311,368020,1.23417707,3380045322,USD,42.52504696,1.2776,-66.28312045,1.73017,Commercial services,america,Commercial Services,1.8125
ABNB,"Airbnb, Inc.",airbnb,streaming,stock,common,138.87,100,1,false,0,USD,-0.41591968,6253063,0.78269031,87563029777,USD,33.58972498,4.1343,-42.84746606,0,Consumer services,america,Consumer Services,1.87234
ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,streaming,stock,common,1.28,100,1,false,0,USD,1.58730159,197695,0.84582168,76902113,USD,,-1.3708,-23.2290543,0,Health technology,america,Health Technology,1
ABP,"Abpro Holdings, Inc",,streaming,stock,common,0.6127,10000,1,false,0,USD,5.63793103,13353,0.19956121,31839425,USD,,-0.2119,-251.79083095,0,Finance,america,Finance,1
ABSI,Absci Corporation,absci,streaming,stock,common,3.85,100,1,false,0,USD,-4.7029703,3504779,0.60246787,442194659.99999994,USD,,-0.9357,19.39179876,0,Health technology,america,Health Technology,1
ABT,Abbott Laboratories,abbott,streaming,stock,common,138.01,100,1,false,0,USD,1.57503496,8756146,1.69545313,239353957973.99997,USD,18.01179818,7.6622,134.63375796,1.62307,Health technology,america,Health Technology,1.365385
ABTS,Abits Group Inc,moxian,streaming,stock,common,0.416,10000,1,false,0,USD,-1.18764846,11676,0.26213344,14790746,USD,,-0.2558,-152.26824458,0,Technology services,america,Technology Services,
ABUS,Arbutus Biopharma Corporation,arbutus-biopharma,streaming,stock,common,3.45,100,1,false,0,USD,2.37388724,1002516,0.91736633,653746319,USD,,-0.426,8.60330401,0,Health technology,america,Health Technology,1.25
ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,streaming,stock,common,0.6901,10000,1,false,0,USD,-13.52130326,357408,0.14512239,8954388,USD,,-0.9002,74.61651252,0,Health technology,america,Health Technology,
ABVE,Above Food Ingredients Inc.,above-food-ingredients,streaming,stock,common,0.4543,10000,1,false,0,USD,-2.17168944,77908,0.36056533,12962412,USD,,,,0,Consumer non-durables,america,Consumer Non-Durables,
AC,"Associated Capital Group, Inc.",associated-capital,streaming,stock,common,37.26,100,1,false,0,USD,-0.1607717,2046,0.30770156,791311593.9999999,USD,17.94365519,2.0765,20.80400256,0.536769,Finance,america,Finance,
ACA,"Arcosa, Inc.",arcosa,streaming,stock,common,83.88,100,1,false,0,USD,-8.40794933,904194,3.83976008,4091399303,USD,43.78099066,1.9159,-41.09997541,0.238436,Producer manufacturing,america,Producer Manufacturing,1.3
ACAD,ACADIA Pharmaceuticals Inc.,acadia-pharmaceuticals,streaming,stock,common,19.6,100,1,false,0,USD,1.34436401,1525543,0.76260323,3269054921.9999995,USD,14.41388439,1.3598,,0,Health technology,america,Health Technology,1.475
ACCD,"Accolade, Inc.",accolade,streaming,stock,common,6.97,100,1,false,0,USD,0.14367816,1514923,0.86895698,571491645,USD,,-2.2528,-35.82539491,0,Technology services,america,Technology Services,1.833333
ACCO,Acco Brands Corporation,acco-brands,streaming,stock,common,4.67,100,1,false,0,USD,0.64655172,1045267,0.82770473,433754297.00000006,USD,,-1.049,-349.44301628,6.42398,Producer manufacturing,america,Producer Manufacturing,1
ACCS,ACCESS Newswire Inc.,issuer-direct,streaming,stock,common,9.68,100,1,false,0,USD,0.25685641,1252,0.13869349,37112898,USD,,-0.3466,-195.71941453,0,Technology services,america,Technology Services,1
