name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M
A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,common,127.92,100,1,false,0,USD,0.66100094,-6.53222271,-14.14188872,-6.8113936,-10.01688239,-5.39161305,-6.97403825,70.6282513,202.91262136,317.27760224,2.64690167,2.3371524
AA,Alcoa Corporation,alcoa,streaming,stock,common,33.25,100,1,false,0,USD,-0.53843853,-8.80416895,-3.11771562,-27.48091603,2.30769231,-12.87829163,24.57849382,158.95638629,-2.03327074,338.01795623,3.41210536,3.85355627
AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,common,11.07,100,1,false,0,USD,0.09041591,0.09041591,0.18099548,1.55963303,2.97674419,0.91157703,5.028463,9.6039604,9.6039604,9.6039604,0.2172937,0.17962509
AADI,"Aadi Bioscience, Inc.",aadi-bioscience,streaming,stock,common,2.56,100,1,false,0,USD,-0.38910506,-10.48951049,-9.54063604,12.7753304,46.28571429,-20.49689441,21.9047619,-72.47311828,-97.15555556,-97.15555556,5.42053755,5.25548836
AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,common,14.35,100,1,false,0,USD,-1.23881624,-9.91839297,-16.27771295,-2.21465077,36.79694948,-17.52873563,-7.7170418,-27.52525253,-71.51647479,-31.82893678,3.81952052,3.43831267
AAM,AA Mission Acquisition Corp.,,streaming,stock,common,10.21,100,1,false,0,USD,0.14713095,0.49212598,0.52279731,1.5920398,2.30460922,1.28968254,2.30460922,2.30460922,2.30460922,2.30460922,0.12769174,0.17791558
AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,common,1.54,100,1,false,0,USD,1.31578947,-1.91082803,-8.87573964,0,-3.44827586,0,-44.20289855,-37.90322581,-61.69154229,195.16617472,2.37895575,4.57066006
AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,common,24.66,100,1,false,0,USD,0.90016367,-5.8778626,-2.798581,-21.76395939,2.19643597,-8.08796124,8.11047786,174,34.09461664,76.14285714,2.87409524,3.01701341
AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,common,21.86,100,1,false,0,USD,-9.06821963,-23.80620425,-17.25965178,-41.92348565,110.19230769,-39.22713372,45.24916944,144.24581006,86.83760684,118.6,17.90547213,12.61996208
AAON,"AAON, Inc.",aaon-inc,streaming,stock,common,76.8,100,1,false,0,USD,-2.3397762,-30.9352518,-31.44693386,-44.01108114,-18.39336946,-35.53802249,-11.72413793,104.83631338,387.10333663,115185.88798655,7.53996545,4.6958879
AAP,Advance Auto Parts Inc.,advance-auto-parts,streaming,stock,common,36.9,100,1,false,0,USD,-0.16233766,-18.07282416,-24.3852459,-16.19350443,-20.57684029,-22.08614865,-46.61458333,-71.89427984,-76.384,175.37175747,8.45044515,5.37429172
AAPL,Apple Inc.,apple,streaming,stock,common,241.84,100,1,false,0,USD,1.91319005,-1.67107136,3.2974543,2.99610315,5.06103654,-2.84819025,33.41424395,276.02425562,651.1433785,188325.21893602,2.75684121,2.45852229
AARD,"Aardvark Therapeutics, Inc.",,streaming,stock,common,12.73,100,1,false,0,USD,-5,-28.36240855,-16.13965744,-16.13965744,-16.13965744,-16.13965744,-16.13965744,-16.13965744,-16.13965744,-16.13965744,17.36738639,50.68890079
AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,streaming,stock,common,37.66,100,1,false,0,USD,0.66827052,4.61111111,-6.08478803,2.81190281,9.4131319,1.07353731,13.43373494,27.01517707,35.03047687,1387.80246914,1.51725026,3.03916618
ABAT,American Battery Technology Company,american-battery-technology-company,streaming,stock,common,1,10000,1,false,0,USD,0.70493454,-7.40740741,-28.57142857,6.38297872,-9.90990991,-60.15936255,-51.92307692,33.40003335,-80.94285238,-80.94285238,7.6268095,10.95770458
ABBV,AbbVie Inc.,abbvie,streaming,stock,common,209.03,100,1,false,0,USD,1.95590674,4.34804313,19.78796562,14.136726,7.05761844,16.99876861,17.52171591,152.48218384,246.36288318,464.94594595,1.97660669,2.23604951
ABCB,Ameris Bancorp,ameris-bancorp,streaming,stock,common,64.58,100,1,false,0,USD,2.03823669,-1.88392586,-0.04643244,-10.11830202,6.33953565,2.49166799,39.90467938,87.13416401,147.24349158,1174.77551278,1.96474906,2.49505804
ABCL,AbCellera Biologics Inc.,abcellera-biologics,streaming,stock,common,2.585,100,1,false,0,USD,-11.47260274,-19.96904025,-22.37237237,-14.11960133,-0.95785441,-12.66891892,-49.90310078,-95.76229508,-95.76229508,-95.76229508,8.58379804,7.01250995
ABEO,Abeona Therapeutics Inc.,abeona-therapeutics,streaming,stock,common,5.24,100,1,false,0,USD,1.94552529,-10.58020478,-3.14232902,-18.88544892,-5.92459605,-6.59536542,-24.71264368,-93.47040498,-93.36708861,-99.9997904,5.74062138,4.55021176
ABG,Asbury Automotive Group Inc,asbury-automotive,streaming,stock,common,268.4,100,1,false,0,USD,0.54317288,-7.55028934,-1.45033964,2.51709255,10.51634687,9.8019964,26.55004951,207.48081109,245.16460905,1488.16662022,2.26731394,2.92026293
ABL,"Abacus Life, Inc.",abacus-life,streaming,stock,common,7.78,100,1,false,0,USD,1.17035111,1.30208333,-2.13836478,-4.18719212,-22.04408818,-0.6385696,-33.73083475,-20.6122449,-20.6122449,-20.6122449,6.22389081,4.79876617
ABLV,Able View Global Inc.,able-view-global,streaming,stock,common,0.655501,10000,1,false,0,USD,-4.99985507,-25.21824147,-39.30546296,-27.16655556,-60.51198795,-12.59986667,-77.85469595,-93.40542254,-93.40542254,-93.40542254,27.86286911,24.15738372
ABM,ABM Industries Incorporated,abm-industries,streaming,stock,common,54.33,100,1,false,0,USD,0.68569311,1.57038699,3.21048632,-5.29893673,-3.60184528,5.84453536,28.65261662,58.67406542,76.51072125,3488.7348207,2.15637549,1.79259961
ABNB,"Airbnb, Inc.",airbnb,streaming,stock,common,138.87,100,1,false,0,USD,-0.41591968,-10.15430401,5.66884797,0.2454342,18.75320677,5.30825813,-9.47196871,-4.88356164,-4.88356164,-4.88356164,2.85932435,3.18712977
ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,streaming,stock,common,1.28,100,1,false,0,USD,1.58730159,-8.57142857,-20,-44.10480349,-54.28571429,-26.85714286,-69.88235294,-94.89429597,-94.89429597,-94.89429597,5.61860651,5.9324756
ABP,"Abpro Holdings, Inc",,streaming,stock,common,0.6127,10000,1,false,0,USD,5.63793103,-37.15897436,-44.3,-76.52490421,-94.52457551,-65.57865169,-94.26847521,-93.82358871,-93.82358871,-93.82358871,16.61204403,14.18353894
ABSI,Absci Corporation,absci,streaming,stock,common,3.85,100,1,false,0,USD,-4.7029703,-26.66666667,0.52219321,29.62962963,-11.69724771,42.59259259,-20.28985507,-81.66666667,-81.66666667,-81.66666667,10.56615135,11.75450622
ABT,Abbott Laboratories,abbott,streaming,stock,common,138.01,100,1,false,0,USD,1.57503496,4.22928782,7.68570537,16.25810799,22.13274336,21.39150321,14.70246011,78.95487552,191.65257819,83720.73380342,1.75482743,1.85445902
ABTS,Abits Group Inc,moxian,streaming,stock,common,0.416,10000,1,false,0,USD,-1.18764846,-5.43305297,-18.11023622,-28.27586207,-16.8,-34.74509804,-60,-74.47852761,-99.18431373,-98.61333333,6.35874087,8.41361757
