name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm
A,"Agilent Technologies, Inc.",agilent-technologies,streaming,stock,common,36494242717,USD,-4.44958882,29.38460478,7.8856897,5.58272769,6.05390875,21.63408368,27.9825,25.02593047,38390242717,5.87635737,24.42127399,20.87560779
AA,Alcoa Corporation,alcoa,streaming,stock,common,8607904250.999998,USD,84.44030668,,,0.70846896,1.66579411,13.92315306,206.19526671,6.87863479,10154904250.999998,0.82627374,7.15134102,4.92478383
AACT,Ares Acquisition Corporation II,ares-management,streaming,stock,common,691874981,USD,,25.72623751,,,1.32386338,,,581.46815298,695685105,,,
AADI,"Aadi Bioscience, Inc.",aadi-bioscience,streaming,stock,common,63223211,USD,28.42393421,,,2.77208657,0.91499484,,,1.10550787,1550211,0.0618353,,
AAL,"American Airlines Group, Inc.",american-airlines-group,streaming,stock,common,9436209559.000002,USD,-1.38842103,12.94775783,6.92229637,0.1939683,,2.60731898,7.98842423,1.34589833,39264209559,0.72428492,12.17872505,7.50606185
AAM,AA Mission Acquisition Corp.,,streaming,stock,common,537035999.9999999,USD,,,,,1.3166973,,,779.00444873,536459655.99999994,,,
AAME,Atlantic American Corporation,atlantic-americanrporation,streaming,stock,common,31415626,USD,-41.39920715,,,0.16677334,0.29720378,23.23668639,25.72972973,,71629626,0.38525257,,
AAMI,Acadian Asset Management Inc.,brightsphere-investment,streaming,stock,common,924548495,USD,6.91711332,11.0454179,0.24794567,1.78331846,46.21006278,8.43690628,9.27216,9.41336041,1234748495,2.39617406,8.42831737,7.48332421
AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,streaming,stock,common,1047202135,USD,123.20107927,,-0.04027594,4.44011902,4.71267961,,,12.72296033,1145575135,4.59396922,,
AAON,"AAON, Inc.",aaon-inc,streaming,stock,common,6266672124,USD,17.44954236,38.09145918,,5.47411643,7.58484808,33.45339481,,985.3601405,6447235124,5.36985439,30.83399949,23.7014147
AAP,Advance Auto Parts Inc.,advance-auto-parts,streaming,stock,common,2206359794,USD,-43.0181756,,,0.21577559,1.0164606,26.04795647,,1.17925359,4484796794,0.4382542,,
AAPL,Apple Inc.,apple,streaming,stock,common,3632938137877.999,USD,28.88628801,38.44588579,,9.08454686,54.48712172,33.83460941,37.27489793,68.13733504,3675962137877.999,9.28836198,29.24974846,26.7630769
AARD,"Aardvark Therapeutics, Inc.",,streaming,stock,common,272223000,USD,,,,,,,,3.30528314,317487000,,,
AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,streaming,stock,common,4166338091.999999,USD,9.25315398,10.14902849,0.17226907,,2.05006268,12.46944964,12.46944964,,4167739091.999999,,,
ABAT,American Battery Technology Company,american-battery-technology-company,streaming,stock,common,84658005,USD,-21.149964,,,85.18966116,1.19541439,,,3.65186575,74558636,84.92839276,,
ABBV,AbbVie Inc.,abbvie,streaming,stock,common,369012123896,USD,13.97834194,87.40173942,,6.43803706,110.97484577,19.66255823,20.73654498,66.5659892,431337123896,7.65678141,35.50391998,21.04802244
ABCB,Ameris Bancorp,ameris-bancorp,streaming,stock,common,4460329336,USD,39.72872113,12.43381659,0.36555407,2.76286513,1.18897089,28.95298316,31.72593971,,4639446336,2.92975167,,
ABCL,AbCellera Biologics Inc.,abcellera-biologics,streaming,stock,common,770298140.9999999,USD,-42.01235922,,-0.14344671,26.11921486,0.70771311,,,1.14076903,173558140.99999988,5.26524106,,
ABEO,Abeona Therapeutics Inc.,abeona-therapeutics,streaming,stock,common,227788193,USD,33.76806435,,-0.05507139,,4.96889698,,,2.28962833,140858193,,,
ABG,Asbury Automotive Group Inc,asbury-automotive,streaming,stock,common,5272837795,USD,25.6508583,12.47287243,,0.30596434,1.50090846,10.23911696,26.93571065,63.09642005,10250437795,0.59637176,10.41182102,9.67478791
ABL,"Abacus Life, Inc.",abacus-life,streaming,stock,common,751894592,USD,-1.88083883,,-0.00272002,5.56243158,2.25255874,,,29.93989329,914910268,8.85990922,149.50393618,70.32167196
ABLV,Able View Global Inc.,able-view-global,streaming,stock,common,27293700,USD,,,,,6.17989064,,,3.02297728,29470296,,,
ABM,ABM Industries Incorporated,abm-industries,streaming,stock,common,3380045322,USD,28.11296476,42.52504696,,0.40667041,1.89637148,15.09832378,20.45899582,52.98436533,4787345322,0.57269692,15.37362017,11.45571984
ABNB,"Airbnb, Inc.",airbnb,streaming,stock,common,87563029777,USD,-8.55541353,33.58972498,,7.82537831,10.28483063,19.14918327,19.29438225,8.13426194,79221029777,7.13574399,31.03056395,30.2601336
ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,streaming,stock,common,76902113,USD,-67.65712979,,-0.0395699,,0.35405769,,,0.38385227,-93452887,,,
ABP,"Abpro Holdings, Inc",,streaming,stock,common,31839425,USD,-70.33271634,,,,,,,3.47489021,32832285,,,
ABSI,Absci Corporation,absci,streaming,stock,common,442194659.99999994,USD,11.19795666,,,109.10351593,2.18359187,,,3.06167225,311316659.99999994,73.99968148,,
ABT,Abbott Laboratories,abbott,streaming,stock,common,239353957973.99997,USD,13.19662834,18.01179818,0.1317092,5.65504219,5.01409112,28.15674924,37.94134152,30.24544496,246898957973.99997,5.88555323,35.89169327,24.45270456
ABTS,Abits Group Inc,moxian,streaming,stock,common,14790746,USD,-57.97430255,,,2.80105403,1.31168217,6.43858605,,37.29546055,14399213,2.69451998,,10.53752589
ABUS,Arbutus Biopharma Corporation,arbutus-biopharma,streaming,stock,common,653746319,USD,34.96940568,,,94.47056419,6.11431103,,,5.10227647,532713319,79.01413809,,
ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,streaming,stock,common,8954388,USD,1.46083766,,,19.41865693,1.04948598,,,10.18324481,10479978,20.55752195,,
ABVE,Above Food Ingredients Inc.,above-food-ingredients,streaming,stock,common,12962412,USD,-84.32374876,,,,,,,,,,,
AC,"Associated Capital Group, Inc.",associated-capital,streaming,stock,common,791311593.9999999,USD,10.44563261,17.94365519,0.86389866,14.15761038,0.88422512,,,2.1496037,429053593.9999998,7.66961485,17.86681078,
ACA,"Arcosa, Inc.",arcosa,streaming,stock,common,4091399303,USD,14.73268346,43.78099066,,1.73545508,,8.13736255,13.08023055,21.80969568,5592999303,2.176349,28.65266036,14.33367325
ACAD,ACADIA Pharmaceuticals Inc.,acadia-pharmaceuticals,streaming,stock,common,3269054921.9999995,USD,-18.90532656,14.41388439,,3.365954,4.45895374,20.71558658,20.78450851,4.32178816,2565056921.9999995,2.67807993,30.43530324,25.60908251
ACCD,"Accolade, Inc.",accolade,streaming,stock,common,571491645,USD,-29.7207309,,-0.08623739,1.25650094,1.80789143,,,2.49295081,583904645,1.30709899,,
ACCO,Acco Brands Corporation,acco-brands,streaming,stock,common,433754297.00000006,USD,-19.64132774,,-0.01265803,0.26706038,0.71564849,3.02195007,3.38513228,6.04390013,1282654297,0.76980812,8.87650033,5.894551
ACCS,ACCESS Newswire Inc.,issuer-direct,streaming,stock,common,37112898,USD,-34.6905855,,,1.26997638,1.05243016,12.10947781,12.18103743,9.08062653,50761898,1.74194084,84.74440401,13.8845454
ACDC,ProFrac Holding Corp.,profrac,streaming,stock,common,1151454110,USD,-15.32415637,,,0.5158482,1.04560526,3.45163118,10.59962247,45.14192157,2559954110,1.15038606,30.95470508,4.92962471
ACEL,"Accel Entertainment, Inc.",accel-entertainment,streaming,stock,common,886839021,USD,10.45850919,,,0.91194556,4.04843081,7.55154785,,3.25341636,1214548021,0.98665772,3.28181716,2.78158392
ACET,"Adicet Bio, Inc.",adicet-bio,streaming,stock,common,74061987,USD,-61.10926498,,,,0.35012407,,,0.404091,-109804013,,,
ACGL,Arch Capital Group Ltd.,arch-capital,streaming,stock,common,34874442429,USD,2.028202,8.30213294,,2.09109609,1.74944077,5.32982886,5.37087708,,38595442429,2.28917215,,
ACHC,"Acadia Healthcare Company, Inc.",acadia-healthcare,streaming,stock,common,2785532901.0000005,USD,-50.50055564,10.79815589,,1.17419144,0.89514555,21.26360158,,36.14101671,4922436901,1.56071485,9.42497243,7.32646133
